id,iban,bic,opening_date,closing_date,owner_id
1,FR64711001300623GY915612S09,COUVVA7K,2004-04-19T18:18:45+02:00,,1
2,FR390719706416085K15S627962,QAMSSR2D,2017-06-19T02:16:55+02:00,2023-12-19T17:32:54+01:00,2
3,FR8700857030082832066R58671,HZBBRO6J,2010-01-13T23:14:08+01:00,,3
4,FR31097092343998047461T8138,GNYYPEZV,2018-05-08T07:54:05+02:00,,4
5,FR62100144408825866F495U745,RKFXKEL7,2015-06-13T07:12:39+02:00,,5
6,FR6780240380015K2788ZRF7822,HNIQKGZ2,2021-04-09T15:38:20+02:00,,6
7,FR722665879772718SC0545T686,EYFTGY0S,2004-12-30T17:53:12+01:00,2023-12-17T23:52:05+01:00,7
8,FR849080037007L3947L9J31119,LXIRBT1S,2008-11-01T21:19:14+01:00,,8
9,FR840605098747R52G382940916,ESYFVEQJ,2021-02-01T22:59:55+01:00,2023-12-27T14:08:38+01:00,9
10,FR5317554732473084714541399,KNHJMZUX,2019-02-27T13:31:01+01:00,,10
11,FR98202100815102C886158Z168,JTHUPG0Z,2008-05-02T09:13:19+02:00,,11
12,FR420027031511X4184X6705716,OKTMAFG1,2011-05-20T04:43:20+02:00,,12
13,FR76020931051746JX804985751,DTFWPWO3,2017-10-27T15:23:06+02:00,,13
14,FR800170080046688533423F794,YXLVGYOS,2019-08-29T13:08:20+02:00,,14
15,FR9530220400505972894922511,BBHYMAWM,2005-04-01T05:29:42+02:00,,15
16,FR2320030007302LS334936B351,FNNAAFUS,2015-03-06T05:58:58+01:00,,16
17,FR3220002775859AB36L699O902,DCROCRT4,2012-11-29T10:54:43+01:00,2023-12-31T20:12:20+01:00,17
18,FR5940840261895313354868997,EPIICHZ3,2007-06-08T03:17:34+02:00,,18
19,FR673600205076951Y756492875,XXYJMEKV,2007-02-13T19:42:15+01:00,,19
20,FR2180600884722318701129861,YVBRGNY8,2013-11-17T21:29:39+01:00,,20
21,FR059705540001P4U4037553N73,SCFGJOTC,2021-01-02T04:28:58+01:00,,21
22,FR4793704008699911115190X85,VBOBGFJB,2016-06-29T01:04:41+02:00,,22
23,FR0511014070898091336393603,GPUNCNPF,2023-11-08T13:52:26+01:00,,23
24,FR72183230447447T186471H422,GGENMSUC,2006-04-18T17:53:37+02:00,2023-12-17T15:49:58+01:00,24
25,FR07030050202640I4584938717,CGLBKGZW,2021-03-18T14:02:01+01:00,,25
26,FR3590026409130719XX64B5O24,NOSJPLSQ,2020-01-18T21:44:02+01:00,,26
27,FR4397005673777K0566J52B729,XLVTMRBF,2009-02-11T12:54:28+01:00,,27
28,FR2322005019739L5107935W804,MWRSWFK3,2011-12-05T13:58:04+01:00,,28
29,FR583603007005R084N4318T078,ATAZBZ0I,2021-07-29T04:14:54+02:00,,29
30,FR3070822419481889633W62614,KBXWVUUG,2021-02-13T01:29:02+01:00,,30
31,FR2600500990409D1N7858D1811,ULTTNA35,2005-05-13T10:08:34+02:00,,31
32,FR1900502200418I47067621583,YPWYIQSE,2011-07-18T11:29:17+02:00,,32
33,FR719550058671216V8I7292788,OFISERO5,2014-12-26T18:42:53+01:00,,33
34,FR59159103044224100F2S72340,XQRYCVXE,2010-11-24T14:13:06+01:00,,34
35,FR7335001363869470934300814,KOLWPLSB,2009-03-29T03:21:14+02:00,,35
36,FR5230056063652WP1609326509,JDTKJOC3,2015-01-23T03:11:51+01:00,,36
37,FR324004009001W461L55180670,MDTICAZG,2023-11-23T21:23:23+01:00,,37
38,FR8455803020074114664443641,OOIDSYNE,2005-04-05T20:26:24+02:00,,38
39,FR950239712283773916267F963,VZLHMLJG,2007-09-16T15:15:36+02:00,,39
40,FR680419716092W39719583BU36,DNXHPSI8,2019-08-16T20:18:04+02:00,,40
41,FR8907050001320089689Q21629,LRDTPE63,2017-08-21T19:59:30+02:00,,41
42,FR8581601631009Q41B75HW6846,XNTONEXZ,2015-11-07T06:34:17+01:00,,42
43,FR68298957082298F2083518242,ZHAKKYO2,2004-06-09T04:15:27+02:00,,43
44,FR350057634444L8248C8096129,UXJWSADG,2006-08-25T02:57:59+02:00,,44
45,FR83806205826461362N692O023,BSOCUS8H,2004-06-06T10:58:31+02:00,,45
46,FR4470198200023A40457347557,WHEFGQ3M,2008-09-14T21:23:27+02:00,,46
47,FR64070031001273456T7300049,UMMJPG6U,2016-09-10T04:19:51+02:00,,47
48,FR6206100200658982740T40272,WFNKGNUU,2007-05-12T05:17:41+02:00,,48
49,FR84100900909651768W66Z6890,UMVRSGSV,2007-03-28T04:14:27+02:00,,49
50,FR64594059845031I8310832901,UDQKGNLG,2007-10-10T22:48:58+02:00,,50
51,FR14518131006649454517SE497,BELDIDGE,2006-11-19T04:00:17+01:00,,51
52,FR6404220900144QB49322HRW78,FCHTBFPS,2007-03-09T19:41:00+01:00,2023-12-19T20:52:46+01:00,52
53,FR41020423006896T260C731076,QFHSLCGG,2011-06-27T16:11:56+02:00,,53
54,FR689078086417T520D34894114,MGQRCDB9,2007-05-28T13:47:18+02:00,,54
55,FR5890302808655HW1521S43822,APVGPFEM,2012-12-10T19:17:47+01:00,,55
56,FR0460088009319LW5734143717,IBHBESY4,2009-12-21T18:12:53+01:00,,56
57,FR31067850076707C58Q3105347,OISWRO2A,2011-05-04T05:11:32+02:00,2023-12-28T17:43:48+01:00,57
58,FR7550080010982442VV511P241,ESXLGBV8,2015-09-11T08:18:43+02:00,,58
59,FR73596006887378379256Y0Y84,YRRZZWG6,2018-09-18T06:44:11+02:00,,59
60,FR25290022007567J1B6573L590,MBLNGBG4,2022-03-31T22:40:49+02:00,,60
61,FR920077003779FTAQG27955699,YFQZPMF6,2021-04-02T07:12:00+02:00,,61
62,FR3895100200712V8820733E388,AMEBMZL0,2022-11-21T11:25:03+01:00,,62
63,FR570703570038579F45IK53390,YKEQCK6L,2013-11-05T14:16:56+01:00,,63
64,FR0804160310549QO1567125206,EFLHKMHB,2019-09-18T08:02:29+02:00,2023-12-23T20:33:08+01:00,64
65,FR316825040323V5Y8SU6NI2194,JWPXJMKO,2014-09-26T19:34:29+02:00,,65
66,FR1905005762639D537J7983338,SISAAUT5,2019-01-14T11:25:36+01:00,,66
67,FR680035091019093945772P114,FLODNG0C,2004-02-07T07:01:37+01:00,2023-12-20T19:27:25+01:00,67
68,FR6819302007924PZ179274F283,PXHEVNCX,2004-02-14T23:26:13+01:00,,68
69,FR591005430932963D491648373,DDTYVG8D,2010-03-03T13:22:02+01:00,,69
70,FR333007020662C404O3SAQ1706,ANGYCRIL,2016-07-29T01:00:33+02:00,,70
71,FR8147543763422492430080462,HISFLTSM,2019-09-20T23:30:44+02:00,,71
72,FR1415600670039800198100555,AZNGVA13,2020-03-29T23:08:16+02:00,,72
73,FR40650910452560113A3QP9810,FBSIRU0E,2004-08-22T04:23:27+02:00,,73
74,FR910800206701X606355252D22,YACSINHQ,2005-12-24T18:09:14+01:00,,74
75,FR3040810031354B12582152866,JWZVCFQJ,2005-04-07T10:57:22+02:00,,75
76,FR361200660118005Y295170527,GKKXTCHI,2015-08-16T15:55:35+02:00,2024-01-03T05:13:48+01:00,76
77,FR59891042461967V173C362834,KTBOGSCH,2011-03-03T04:04:43+01:00,,77
78,FR4800470033256W7972V96CL68,UBJKILE2,2021-04-22T15:25:04+02:00,,78
79,FR55050002631835199P4644388,LTNGBW1H,2020-10-21T05:48:18+02:00,,79
80,FR6140001003839532E6249WB32,YZHAVIH0,2013-05-14T07:52:40+02:00,,80
81,FR2203041600559O39925422603,DYYEGTZD,2006-01-13T23:44:30+01:00,,81
82,FR304007702006905A774734103,RTHTYTKA,2006-05-29T14:44:03+02:00,,82
83,FR050130012026261Z076538986,NVAHAE7T,2011-08-20T02:51:51+02:00,,83
84,FR04346780779906L8142954910,VJXCKYXN,2019-02-17T04:22:29+01:00,,84
85,FR520040040024M23O029246430,UMBYAE35,2007-07-22T23:21:00+02:00,,85
86,FR08780045001491YF4259V5R12,XBRBAQW0,2022-01-08T07:51:20+01:00,,86
87,FR403705130046D963D74778051,JXHACK0L,2017-01-07T02:06:08+01:00,,87
88,FR9776009009954550U0W463941,QYLHCUDU,2017-11-29T17:57:52+01:00,,88
89,FR370073809097250876A3D4150,FMPBUYXD,2021-09-17T08:46:05+02:00,,89
90,FR110572656880N86215001O320,LGGZTHJG,2012-03-06T06:41:22+01:00,,90
91,FR91020380508214HX9861OC400,BTXLYEXT,2015-08-04T17:15:29+02:00,,91
92,FR5704619569919318O3E461344,EWXNNLIL,2020-09-07T00:18:17+02:00,,92
93,FR5009024005005786069473114,SIVGBZH3,2007-12-12T11:59:28+01:00,,93
94,FR878002005034033X27729IC73,XKBZTTBC,2019-07-05T05:58:06+02:00,,94
95,FR470096802001F801241441F42,SQWSCM5C,2020-12-20T08:39:39+01:00,2024-01-03T16:25:30+01:00,95
96,FR6888703600185V25L28112282,JQWANA3O,2013-07-06T17:12:25+02:00,,96
97,FR1093014680862880C158Y5Z59,HAQTTZU3,2015-08-30T17:16:07+02:00,,97
98,FR46069870832960093H1Z47300,QYOZEGGQ,2014-08-02T13:33:18+02:00,,98
99,FR5820113706167432752ZSLG93,AGIBNLMU,2021-03-24T05:44:43+01:00,,99
100,FR0687502003494Y3017696II13,BCFPSHLC,2015-05-12T23:25:48+02:00,,100
101,FR3605501900140T2S9965A1365,WMKVNA0D,2011-01-11T05:19:39+01:00,,101
102,FR493610100194601188CN36257,INYVAZ4R,2021-03-12T14:02:18+01:00,,102
103,FR100862007887827Q657648J21,GZZUMR1O,2009-10-17T16:14:40+02:00,,103
104,FR61467902034388113S78O7V39,LMSPJMV1,2021-11-12T19:05:19+01:00,,104
105,FR8000058800321137089J8M380,UFIYLVZ4,2011-05-24T17:40:43+02:00,,105
106,FR020070050114012497MJL4417,MHKTLTNK,2010-01-08T15:49:40+01:00,,106
107,FR14033085015626023852TY109,DOMJSC8D,2018-03-23T06:52:50+01:00,,107
108,FR3628055370730O021F7Y2S973,KEGOPERO,2012-10-02T17:00:36+02:00,,108
109,FR6974005207942G71213D78760,MMPUAX2J,2007-07-28T02:09:31+02:00,,109
110,FR16040909500590R7292DT3519,KMOXTM29,2013-01-15T22:09:11+01:00,,110
111,FR8105006634435445895413655,KLLMTKH8,2012-07-26T13:18:34+02:00,,111
112,FR070096009543Z534051C27248,QIIJMGBS,2018-08-16T22:59:30+02:00,,112
113,FR37140078004882687Z53Q4375,CFELBETB,2009-08-05T21:42:54+02:00,,113
114,FR34800209139190053552Q9443,ASUFPTAH,2014-08-24T10:42:54+02:00,,114
115,FR67653054385967596P2733968,KVFLHR15,2018-08-06T13:13:12+02:00,,115
116,FR800987100315429O9RGLN5836,LIRHBT2C,2016-06-02T22:51:30+02:00,,116
117,FR361901145064K88HRW2596733,RHWULB4Q,2004-01-26T16:36:22+01:00,,117
118,FR1459950005873E752GB892240,VAZWCA8Y,2021-08-22T13:37:22+02:00,,118
119,FR939390046753D98Z13U567147,BSWOAMXC,2016-05-27T10:18:31+02:00,2023-12-25T01:39:02+01:00,119
120,FR9160046700895N2055X172625,FPZMGB5M,2007-02-21T23:16:39+01:00,,120
121,FR6805400801355039048V65780,TODFMGAR,2008-04-20T15:32:31+02:00,,121
122,FR410700970007732F042F51845,GYMKPFCR,2022-11-26T18:22:23+01:00,,122
123,FR345940084652432361553A429,WNNUFMIB,2023-04-14T05:45:48+02:00,,123
124,FR92053888082984Y642E630734,GMFLMRW0,2022-06-18T15:15:53+02:00,,124
125,FR0228795600501827181703805,GJVZCWF7,2012-08-02T18:13:01+02:00,,125
126,FR33050069536441775423J1964,UBPFPFP3,2023-11-29T06:15:30+01:00,,126
127,FR4500579200569142500DU0535,DFTOGL7Q,2004-06-07T17:27:56+02:00,,127
128,FR454413610480E324QN038F503,ZRNNNUUK,2022-12-14T03:42:23+01:00,,128
129,FR6060070065254778I21330239,UDSRBN97,2019-06-12T00:45:27+02:00,,129
130,FR302253196021G504D10159534,NTGWAQZT,2008-12-05T11:53:41+01:00,,130
131,FR7370009060366O647556S6729,PFYJUMXQ,2006-03-28T14:46:58+02:00,,131
132,FR040621020085A4361O2978785,DQLIFJUQ,2005-12-23T21:20:56+01:00,,132
133,FR3700023500547636F81657X67,TCXJAWWQ,2010-10-10T11:47:11+02:00,,133
134,FR02762886555127R3J6653N823,DBZYCDD3,2010-08-10T06:37:09+02:00,,134
135,FR34040756079308D0M04111328,NYPMGPKF,2016-05-12T11:56:22+02:00,,135
136,FR690040305005P071J3139EZ77,QHNOER5X,2011-10-28T18:03:53+02:00,,136
137,FR49200814126288O5549L96936,ZUDBGI0Y,2018-07-12T03:54:03+02:00,,137
138,FR240010036827XG54614003971,TPCFKN0G,2018-05-17T11:52:30+02:00,,138
139,FR625209507001K199070149B55,SVKVGE27,2013-01-17T18:31:41+01:00,2023-12-23T20:00:41+01:00,139
140,FR2475001170749KL411V760157,IYDWCLAK,2010-01-17T12:01:52+01:00,,140
141,FR038040020059Q327130485829,ESKULSHR,2019-05-01T03:28:16+02:00,,141
142,FR573001864785S5361Q0079632,ACBADM26,2019-09-16T14:35:47+02:00,,142
143,FR27086040162186Q9372S29515,HQMJLI3F,2018-09-16T05:10:31+02:00,2024-01-05T07:43:51+01:00,143
144,FR020090506232S49P570O77747,RUJCDKNJ,2006-02-17T03:31:30+01:00,,144
145,FR540047497576BW04936623211,ZCKIGGTA,2021-04-27T13:17:20+02:00,,145
146,FR05006000600475G937Z998291,AVQEKNIK,2015-03-03T02:21:56+01:00,,146
147,FR5001905004049X9016G87F444,FRUNBLJ2,2016-10-11T13:19:35+02:00,2023-12-23T19:10:08+01:00,147
148,FR3806171150668036892324773,BCXHLU0H,2016-03-21T00:08:49+01:00,,148
149,FR0353670145921343425072886,JIFCBWVP,2005-07-29T05:35:04+02:00,,149
150,FR461972727685914LF0W7B8320,RWJHGLA2,2009-11-23T18:11:10+01:00,,150
151,FR03403700200990099393G6375,MKEFTNJZ,2021-06-09T02:49:33+02:00,2023-12-27T04:07:16+01:00,151
152,FR86028260945555334033D0768,ZNLGMN6R,2013-01-12T03:37:55+01:00,,152
153,FR4323190059089Y8M957361333,HKIXEEHR,2007-10-26T19:01:37+02:00,,153
154,FR9688509625369K70G4W341N37,VOAGJOYY,2015-04-01T00:21:17+02:00,2024-01-01T14:43:23+01:00,154
155,FR9200858973921904S15842F16,WZGJMTS2,2020-01-12T10:56:50+01:00,,155
156,FR3710278407650198375260664,RXLWLSSL,2007-04-19T19:13:04+02:00,,156
157,FR610099819048259B985N77586,CZWSKY8P,2007-12-15T06:56:09+01:00,,157
158,FR353781008535119218A4X9929,ZTVEYE78,2013-02-04T12:13:07+01:00,2023-12-23T19:12:39+01:00,158
159,FR8619350085850LR8106266776,JLXCAQSQ,2020-02-23T05:27:41+01:00,,159
160,FR10031210437352354D93L0406,HFCIUYR4,2014-04-19T08:07:57+02:00,,160
161,FR857004230162497053Q7JQ371,AJUYZWL1,2017-09-16T16:42:48+02:00,,161
162,FR450670468008Y232358G85319,MRSCPAGY,2007-06-10T06:07:29+02:00,,162
